General : Start date,2/9/2023,
,,
Time,Extension,Load
(s),(in),(lbf)
0,0,0.00904
0.1,0.00001,-0.00027
0.2,0.00011,0.04865
0.3,0.00047,0.29951
0.4,0.00112,0.75467
0.5,0.00195,1.40117
0.6,0.00282,2.09008
0.7,0.00371,2.89333
0.8,0.00453,3.67836
0.9,0.00526,4.43229
1,0.00594,5.19164
1.1,0.00655,5.97111
1.2,0.00709,6.66068
1.3,0.00757,7.31622
1.4,0.00803,8.00678
1.5,0.00847,8.64562
1.6,0.00886,9.26376
1.7,0.00924,9.91196
1.8,0.00959,10.53501
1.9,0.00994,11.13926
2,0.01027,11.79146
2.1,0.01058,12.39377
2.2,0.01087,13.03032
2.3,0.01115,13.61942
2.4,0.01143,14.21639
2.5,0.01169,14.82025
2.6,0.01195,15.42133
2.7,0.01221,16.07273
2.8,0.01243,16.63013
2.9,0.01267,17.25919
3,0.0129,17.87576
3.1,0.01312,18.49147
3.2,0.01332,19.06519
3.3,0.01353,19.70085
3.4,0.01373,20.28315
3.5,0.01392,20.89166
3.6,0.01411,21.46748
3.7,0.01428,22.0564
3.8,0.01446,22.63279
3.9,0.01464,23.25412
4,0.01481,23.83412
4.1,0.01499,24.50177
4.2,0.01514,25.04835
4.3,0.01532,25.71526
4.4,0.01547,26.30053
4.5,0.01562,26.88606
4.6,0.01577,27.43566
4.7,0.01592,28.08453
4.8,0.01606,28.6238
4.9,0.01622,29.27282
5,0.01636,29.87174
5.1,0.01649,30.43828
5.2,0.01664,31.0663
5.3,0.01678,31.66629
5.4,0.0169,32.1997
5.5,0.01703,32.8034
5.6,0.01716,33.42789
5.7,0.0173,34.0257
5.8,0.01743,34.61811
5.9,0.01755,35.25628
6,0.01768,35.86255
6.1,0.0178,36.41281
6.2,0.01792,37.00231
6.3,0.01803,37.62998
6.4,0.01816,38.24066
6.5,0.01826,38.77828
6.6,0.01839,39.42982
6.7,0.01851,40.02152
6.8,0.01862,40.65034
6.9,0.01873,41.19466
7,0.01885,41.81444
7.1,0.01895,42.39773
7.2,0.01907,43.01948
7.3,0.01918,43.56578
7.4,0.01928,44.15656
7.5,0.0194,44.77227
7.6,0.01951,45.41835
7.7,0.01961,45.95227
7.8,0.01972,46.59109
7.9,0.01983,47.22283
8,0.01994,47.86094
8.1,0.02004,48.43042
8.2,0.02015,49.03245
8.3,0.02026,49.66787
8.4,0.02035,50.24212
8.5,0.02046,50.849
8.6,0.02056,51.42361
8.7,0.02065,52.01682
8.8,0.02075,52.56736
8.9,0.02086,53.2116
9,0.02096,53.78069
9.1,0.02105,54.37781
9.2,0.02116,55.04535
9.3,0.02126,55.60077
9.4,0.02135,56.18609
9.5,0.02145,56.78275
9.6,0.02155,57.40905
9.7,0.02165,57.96493
9.8,0.02175,58.6162
9.9,0.02185,59.19336
10,0.02194,59.79396
10.1,0.02205,60.44951
10.2,0.02214,61.03514
10.3,0.02225,61.65768
10.4,0.02233,62.20674
10.5,0.02243,62.79836
10.6,0.02253,63.44928
10.7,0.02263,64.07478
10.8,0.02272,64.62724
10.9,0.02281,65.18292
11,0.02291,65.79802
11.1,0.023,66.38591
11.2,0.0231,67.0291
11.3,0.02318,67.61476
11.4,0.02328,68.23584
11.5,0.02337,68.83551
11.6,0.02346,69.35735
11.7,0.02356,70.03762
11.8,0.02364,70.59048
11.9,0.02373,71.19483
12,0.02382,71.81241
12.1,0.02391,72.35771
12.2,0.024,73.04649
12.3,0.02409,73.6129
12.4,0.02417,74.18024
12.5,0.02426,74.78963
12.6,0.02434,75.40125
12.7,0.02443,76.06981
12.8,0.02451,76.61515
12.9,0.02459,77.17086
13,0.02468,77.7934
13.1,0.02477,78.48796
13.2,0.02485,79.0281
13.3,0.02493,79.62606
13.4,0.02501,80.19806
13.5,0.02509,80.85664
13.6,0.02517,81.42137
13.7,0.02525,81.96927
13.8,0.02533,82.6672
13.9,0.02541,83.23889
14,0.02549,83.79668
14.1,0.02557,84.39668
14.2,0.02565,85.09283
14.3,0.02572,85.61709
14.4,0.0258,86.23435
14.5,0.02588,86.84694
14.6,0.02595,87.37474
14.7,0.02602,87.96626
14.8,0.02611,88.65222
14.9,0.02617,89.17468
15,0.02625,89.82289
15.1,0.02632,90.41039
15.2,0.0264,90.9696
15.3,0.02647,91.59289
15.4,0.02655,92.26968
15.5,0.02662,92.79578
15.6,0.02669,93.43862
15.7,0.02677,94.03218
15.8,0.02684,94.59358
15.9,0.02691,95.23924
16,0.02699,95.85397
16.1,0.02706,96.40748
16.2,0.02713,97.08947
16.3,0.0272,97.67051
16.4,0.02727,98.20339
16.5,0.02734,98.80905
16.6,0.02741,99.39563
16.7,0.02748,100.05705
16.8,0.02755,100.60852
16.9,0.02762,101.22739
17,0.02768,101.82594
17.1,0.02775,102.36387
17.2,0.02781,103.00428
17.3,0.02788,103.62498
17.4,0.02795,104.17757
17.5,0.02802,104.84472
17.6,0.02808,105.4079
17.7,0.02815,105.99849
17.8,0.02822,106.58838
17.9,0.02828,107.17704
18,0.02835,107.79652
18.1,0.02841,108.34692
18.2,0.02848,109.0196
18.3,0.02854,109.59261
18.4,0.0286,110.20775
18.5,0.02866,110.78192
18.6,0.02873,111.36436
18.7,0.02879,112.01567
18.8,0.02885,112.5717
18.9,0.02892,113.24719
19,0.02898,113.81608
19.1,0.02904,114.40564
19.2,0.0291,114.93807
19.3,0.02916,115.60957
19.4,0.02922,116.20794
19.5,0.02929,116.85568
19.6,0.02934,117.40266
19.7,0.0294,118.03159
19.8,0.02946,118.61945
19.9,0.02952,119.21131
20,0.02958,119.80885
20.1,0.02964,120.38807
20.2,0.0297,121.06076
20.3,0.02976,121.61947
20.4,0.02982,122.22088
20.5,0.02988,122.83656
20.6,0.02993,123.42671
20.7,0.02999,123.96738
20.8,0.03005,124.61445
20.9,0.0301,125.15549
21,0.03017,125.84414
21.1,0.03022,126.35138
21.2,0.03028,127.0176
21.3,0.03034,127.63575
21.4,0.0304,128.21519
21.5,0.03045,128.76719
21.6,0.03051,129.39369
21.7,0.03056,129.98216
21.8,0.03063,130.68739
21.9,0.03068,131.18202
22,0.03074,131.8383
22.1,0.03079,132.40144
22.2,0.03085,133.0206
22.3,0.0309,133.54849
22.4,0.03096,134.21928
22.5,0.03101,134.78585
22.6,0.03107,135.46885
22.7,0.03113,136.01582
22.8,0.03118,136.62305
22.9,0.03123,137.22116
23,0.03129,137.80569
23.1,0.03134,138.36504
23.2,0.0314,139.00379
23.3,0.03145,139.56935
23.4,0.03151,140.22469
23.5,0.03156,140.78681
23.6,0.03162,141.42196
23.7,0.03167,142.02589
23.8,0.03172,142.60039
23.9,0.03178,143.18482
24,0.03183,143.81351
24.1,0.03189,144.40661
24.2,0.03194,145.02913
24.3,0.03199,145.65716
24.4,0.03205,146.20333
24.5,0.0321,146.84258
24.6,0.03216,147.43113
24.7,0.03221,148.03305
24.8,0.03226,148.56796
24.9,0.03231,149.20413
25,0.03236,149.78741
25.1,0.03242,150.46977
25.2,0.03247,150.99241
25.3,0.03253,151.61898
25.4,0.03258,152.22632
25.5,0.03263,152.80528
25.6,0.03268,153.38129
25.7,0.03273,153.99352
25.8,0.03279,154.6201
25.9,0.03284,155.212
26,0.03289,155.83973
26.1,0.03294,156.3637
26.2,0.033,157.05306
26.3,0.03305,157.62994
26.4,0.0331,158.23111
26.5,0.03315,158.76248
26.6,0.0332,159.39539
26.7,0.03325,159.96402
26.8,0.0333,160.61691
26.9,0.03335,161.22717
27,0.0334,161.79394
27.1,0.03346,162.45369
27.2,0.03351,163.03161
27.3,0.03356,163.64962
27.4,0.03361,164.1758
27.5,0.03366,164.78457
27.6,0.03371,165.38629
27.7,0.03376,166.03993
27.8,0.03381,166.62024
27.9,0.03386,167.16576
28,0.03392,167.86371
28.1,0.03397,168.44341
28.2,0.03402,169.01752
28.3,0.03407,169.58957
28.4,0.03412,170.23225
28.5,0.03417,170.78475
28.6,0.03422,171.48182
28.7,0.03427,172.01843
28.8,0.03432,172.6064
28.9,0.03437,173.26102
29,0.03442,173.83196
29.1,0.03447,174.41886
29.2,0.03452,174.99237
29.3,0.03457,175.62578
29.4,0.03462,176.15632
29.5,0.03467,176.84278
29.6,0.03472,177.40772
29.7,0.03476,177.98828
29.8,0.03482,178.65806
29.9,0.03487,179.21792
30,0.03491,179.81894
30.1,0.03496,180.38018
30.2,0.03501,180.9947
30.3,0.03506,181.5739
30.4,0.03511,182.21936
30.5,0.03516,182.84916
30.6,0.0352,183.37812
30.7,0.03525,184.00686
30.8,0.0353,184.62699
30.9,0.03535,185.22931
31,0.0354,185.77501
31.1,0.03545,186.40555
31.2,0.03549,186.98479
31.3,0.03554,187.5895
31.4,0.03559,188.27968
31.5,0.03564,188.7733
31.6,0.03569,189.37746
31.7,0.03573,190.01859
31.8,0.03578,190.6036
31.9,0.03583,191.21652
32,0.03588,191.76832
32.1,0.03593,192.44296
32.2,0.03597,192.99045
32.3,0.03602,193.66368
32.4,0.03607,194.24493
32.5,0.03611,194.76982
32.6,0.03617,195.43857
32.7,0.03621,196.03577
32.8,0.03626,196.63901
32.9,0.03631,197.20345
33,0.03635,197.79791
33.1,0.0364,198.41045
33.2,0.03645,199.01192
33.3,0.0365,199.68632
33.4,0.03654,200.17627
33.5,0.03659,200.83239
33.6,0.03664,201.48158
33.7,0.03669,202.01006
33.8,0.03673,202.63493
33.9,0.03678,203.14203
34,0.03683,203.79456
34.1,0.03687,204.39411
34.2,0.03692,205.03681
34.3,0.03697,205.6327
34.4,0.03701,206.21394
34.5,0.03706,206.82487
34.6,0.03711,207.41532
34.7,0.03715,208.02218
34.8,0.0372,208.58904
34.9,0.03725,209.18461
35,0.03729,209.81776
35.1,0.03734,210.37594
35.2,0.03739,211.04218
